"r_SE","r_k21","r_var","rho","r_SDED","npoints","psi","GET_max","x1","x2","x3","x4","w1","w2","w3","w4","time_pso_s","valid"
0.2,0.2,0.2,-0.5,0.2,3,5.8073,0,0.1352,1.5669,500,,0.6857,0.1195,0.1948,,0.728,TRUE
0.2,0.2,0.2,0.5,0.2,2,4.026,0,0.1296,500,,,0.7283,0.2717,,,0.71,TRUE
0.2,0.2,1,0,0.2,2,24.6633,0,0.1439,500,,,0.7375,0.2625,,,0.845,TRUE
0.2,0.2,1,0.9,0.2,3,9.4501,0.0001,0.1004,1.8802,500,,0.6407,0.1897,0.1696,,0.733,TRUE
0.2,50,0.2,0.5,1,2,58.0718,0.0001,0.7047,500,,,0.7071,0.2929,,,0.573,TRUE
0.2,50,0.2,0.9,1,2,16.6408,0,0.7047,500,,,0.7071,0.2929,,,0.579,TRUE
0.2,50,10,-0.9,1,2,2563.414,0,0.7047,500,,,0.7071,0.2929,,,0.579,TRUE
0.2,100,0.2,0,1,2,71.0101,0.0001,0.7047,500,,,0.7071,0.2929,,,0.569,TRUE
0.2,100,0.2,0.9,1,2,19.8828,0.0001,0.7047,500,,,0.7071,0.2929,,,0.78,TRUE
0.2,100,1,0.9,1,2,13.4941,0,0.7047,500,,,0.7071,0.2929,,,0.572,TRUE
1,0.2,0.2,0.5,1,2,22.4124,0.0001,0.7047,500,,,0.7071,0.2929,,,0.573,TRUE
1,0.2,0.2,0.9,0.2,2,0.1489,0,0.7891,499.708,,,0.6405,0.3595,,,0.711,TRUE
1,0.2,1,-0.9,0.2,3,0.6869,0,0.1263,1.17,500,,0.4287,0.4596,0.1117,,0.733,TRUE
1,0.2,1,0.5,0.2,2,0.6439,0,0.3262,500,,,0.7668,0.2332,,,0.714,TRUE
1,0.2,1,0.9,0.2,2,0.2189,0,0.3584,500,,,0.6048,0.3952,,,0.715,TRUE
1,0.2,5,0.9,0.2,2,0.4846,0,0.1474,500,,,0.7275,0.2725,,,0.715,TRUE
1,0.2,10,0,0.2,2,4.899,0,0.1875,500,,,0.832,0.168,,,0.715,TRUE
1,1,0.2,-0.9,1,2,3.3816,0,0.7047,500,,,0.7071,0.2929,,,0.58,TRUE
1,1,0.2,-0.5,1,2,6.4445,0,0.7047,499.915,,,0.7071,0.2929,,,0.579,TRUE
1,1,0.2,0.5,0.2,2,2.1909,0,0.1431,1.5718,,,0.4259,0.5741,,,0.716,TRUE
1,1,0.2,0.9,0.2,2,0.9298,0,0.1357,1.3272,,,0.3479,0.6521,,,0.767,TRUE
1,1,0.2,0.9,1,2,17.1642,0,0.7047,500,,,0.7071,0.2929,,,0.593,TRUE
1,1,1,-0.9,1,2,1.7122,0,0.7047,500,,,0.7071,0.2929,,,0.584,TRUE
1,1,1,-0.5,1,2,8.5608,0,0.7047,500,,,0.7071,0.2929,,,0.57,TRUE
1,1,1,0,1,2,17.1216,0,0.7047,500,,,0.7071,0.2929,,,0.573,TRUE
1,1,1,0.5,1,2,25.6824,0.0001,0.7047,500,,,0.7071,0.2929,,,0.569,TRUE
1,1,1,0.9,0.2,3,2.0129,0,0.1012,1.4235,500,,0.521,0.4349,0.0442,,0.732,TRUE
1,1,1,0.9,1,2,32.531,0,0.7047,500,,,0.7071,0.2929,,,0.573,TRUE
1,1,5,-0.9,0.2,2,11.4711,0,0.1467,500,,,0.2679,0.7321,,,0.72,TRUE
1,1,5,-0.9,1,2,16.9082,0,0.7047,500,,,0.7071,0.2929,,,0.572,TRUE
1,1,5,-0.5,1,2,32.2222,0.0001,0.7047,500,,,0.7071,0.2929,,,0.573,TRUE
1,50,0.2,-0.9,50,3,2.5273,0,1.0774,39.2637,500,,0.5848,0.3371,0.078,,0.739,TRUE
1,50,0.2,-0.9,100,3,3.4041,0,2.6193,79.0517,500,,0.3621,0.4991,0.1388,,0.733,TRUE
1,50,0.2,0.5,100,3,6.9363,0.0001,0.8877,55.6194,500,,0.3798,0.5231,0.097,,1.024,TRUE
1,50,0.2,0.9,50,3,3.8057,0,0.624,59.3896,500,,0.4794,0.365,0.1556,,0.739,TRUE
1,50,1,-0.9,50,3,6.5609,0,1.4386,43.8383,500,,0.3842,0.488,0.1278,,0.741,TRUE
1,50,1,0.5,50,3,19.3881,0.0001,0.8221,35.3234,500,,0.4052,0.4846,0.1103,,0.736,TRUE
1,50,1,0.9,1,2,35.557,0.0001,0.7047,500,,,0.7071,0.2929,,,0.605,TRUE
1,50,1,0.9,50,3,8.8028,0,0.6394,54.5548,500,,0.3078,0.5025,0.1898,,0.863,TRUE
1,50,5,0.9,0.2,2,30.3095,0,0.7826,500,,,0.6099,0.3901,,,0.73,TRUE
1,50,5,0.9,1,2,24.6568,0.0001,0.7047,500,,,0.7071,0.2929,,,0.563,TRUE
1,50,10,0.5,1,2,34.9692,0.0001,0.7047,500,,,0.7071,0.2929,,,0.581,TRUE
1,50,10,0.9,0.2,2,39.1627,0,0.5496,500,,,0.5509,0.4491,,,0.718,TRUE
1,100,0.2,-0.9,100,3,2.4747,0,1.2008,65.7842,500,,0.5795,0.3431,0.0774,,0.736,TRUE
1,100,0.2,0.5,100,3,9.9736,0.0001,0.7786,63.6973,500,,0.5658,0.352,0.0822,,0.734,TRUE
1,100,0.2,0.9,50,3,5.4387,0,0.5992,75.5326,500,,0.5266,0.2911,0.1823,,0.735,TRUE
1,100,0.2,0.9,100,3,4.203,0.0001,0.6073,97.2404,500,,0.4553,0.3939,0.1508,,0.735,TRUE
1,100,1,-0.9,50,3,4.8003,0.0001,0.9816,37.523,500,,0.553,0.3655,0.0816,,0.733,TRUE
1,100,1,0.5,1,2,38.4707,0.0001,0.7047,500,,,0.7071,0.2929,,,0.574,TRUE
1,100,1,0.9,50,3,9.1227,0,0.6175,62.191,500,,0.4007,0.4104,0.1888,,0.735,TRUE
1,100,5,-0.5,100,3,60.6988,-0.0001,1.0892,56.863,500,,0.235,0.6445,0.1205,,0.736,TRUE
1,100,5,0.9,0.2,2,20.0827,0,1.1267,500,,,0.6675,0.3325,,,0.735,TRUE
1,100,5,0.9,1,2,27.3737,0.0001,0.7047,500,,,0.7071,0.2929,,,0.572,TRUE
1,100,10,0.5,1,2,33.1344,0.0001,0.7047,500,,,0.7071,0.2929,,,0.569,TRUE
1,100,10,0.9,1,2,22.4394,0.0001,0.7047,500,,,0.7071,0.2929,,,0.578,TRUE
50,0.2,0.2,-0.9,50,3,3.0783,0,0.5804,166.61,500,,0.1678,0.0359,0.7963,,0.733,TRUE
50,0.2,1,-0.9,50,3,3.2032,0,0.5812,146.383,500,,0.165,0.1391,0.6959,,0.738,TRUE
50,0.2,1,0,50,3,4.6659,0,0.7056,88.2956,500,,0.3048,0.1557,0.5394,,0.737,TRUE
50,0.2,1,0.5,1,2,72.7801,0,0.7047,500,,,0.7071,0.2929,,,0.571,TRUE
50,0.2,1,0.5,50,3,4.1616,0,0.6768,73.3076,500,,0.2835,0.1494,0.5671,,0.74,TRUE
50,0.2,5,0.5,50,3,4.2132,0.0001,0.6767,64.5468,500,,0.2892,0.2669,0.4438,,0.733,TRUE
50,0.2,5,0.9,50,3,2.6581,0,0.5708,20.1655,500,,0.2035,0.1351,0.6614,,0.738,TRUE
50,0.2,10,-0.9,50,3,3.7383,0,0.5846,113.111,500,,0.1537,0.3419,0.5043,,0.791,TRUE
50,1,0.2,-0.9,50,3,1.4471,0,0.5708,20.0005,500,,0.8145,0.0855,0.1,,0.727,TRUE
50,1,1,-0.9,100,3,0.4105,0,1.6424,72.167,500,,0.8559,0.1154,0.0287,,0.728,TRUE
50,1,1,0,1,2,46.4533,0.0001,0.7047,500,,,0.7071,0.2929,,,0.574,TRUE
50,1,5,-0.9,100,3,0.5012,0,1.7392,73.1156,500,,0.7881,0.1691,0.0427,,0.737,TRUE
50,1,5,0.9,100,4,0.317,0,1.1936,1.195,44.3366,500,0.7002,0.2117,0.0777,0.0104,0.773,TRUE
50,1,10,-0.5,50,3,4.951,0.0001,0.6888,40.0605,500,,0.8345,0.1227,0.0428,,0.741,TRUE
50,1,10,0,1,2,46.4567,0.0001,0.7047,500,,,0.7071,0.2929,,,0.569,TRUE
50,1,10,0.5,100,3,1.4597,0.0001,1.1156,48.4928,500,,0.8402,0.1389,0.0209,,0.733,TRUE
50,1,10,0.9,50,3,1.6454,0,0.5833,122.47,500,,0.7469,0.0857,0.1674,,0.733,TRUE
50,50,0.2,-0.5,1,2,35.6615,0,0.7047,500,,,0.7071,0.2929,,,0.577,TRUE
50,50,0.2,0,1,2,35.6551,0.0001,0.7047,499.972,,,0.7071,0.2929,,,0.57,TRUE
50,50,0.2,0,50,2,29.0542,0.0001,0.7048,500,,,0.7163,0.2837,,,0.71,TRUE
50,50,0.2,0.9,1,2,35.6436,0.0001,0.7047,500,,,0.7071,0.2929,,,0.57,TRUE
50,50,1,-0.9,1,2,35.6808,0.0001,0.7047,500,,,0.7071,0.2929,,,0.595,TRUE
50,50,1,-0.9,50,3,9.5133,0.0001,0.5708,20.1751,500,,0.5806,0.0527,0.3667,,0.878,TRUE
50,50,1,0,1,2,35.6551,0.0001,0.7047,500,,,0.7071,0.2929,,,0.569,TRUE
50,50,1,0.5,1,2,35.6408,0.0001,0.7047,500,,,0.7071,0.2929,,,0.567,TRUE
50,50,5,-0.9,1,2,35.7125,0,0.7047,500,,,0.7071,0.2929,,,0.561,TRUE
50,50,5,-0.9,50,3,9.4924,0.0001,0.5708,20.1749,500,,0.5816,0.055,0.3634,,0.733,TRUE
50,50,5,0,0.2,2,39.1915,0.0001,0.7047,500,,,0.7049,0.2951,,,0.709,TRUE
50,50,10,-0.5,1,2,35.7002,0.0001,0.7047,500,,,0.7071,0.2929,,,0.575,TRUE
50,100,0.2,-0.9,0.2,3,17.1614,0.0001,0.1165,1.1804,500,,0.2001,0.5426,0.2573,,0.733,TRUE
50,100,0.2,-0.9,1,2,35.2406,0.0001,0.7047,500,,,0.7071,0.2929,,,0.588,TRUE
50,100,0.2,-0.5,1,2,35.2371,0.0001,0.7047,500,,,0.7071,0.2929,,,0.57,TRUE
50,100,0.2,0,1,2,35.2326,0.0001,0.7047,500,,,0.7071,0.2929,,,0.572,TRUE
50,100,0.2,0,50,2,30.5353,0.0001,0.7048,500,,,0.7134,0.2866,,,0.715,TRUE
50,100,0.2,0.5,1,2,35.2282,0.0001,0.7047,500,,,0.7071,0.2929,,,0.567,TRUE
50,100,0.2,0.9,1,2,35.2246,0,0.7047,500,,,0.7071,0.2929,,,0.58,TRUE
50,100,1,0,1,2,35.2326,0.0001,0.7047,500,,,0.7071,0.2929,,,0.576,TRUE
50,100,1,0,50,2,30.5416,0.0001,0.705,500,,,0.7134,0.2866,,,0.715,TRUE
50,100,1,0.5,1,2,35.2227,0.0001,0.7047,500,,,0.7071,0.2929,,,0.577,TRUE
50,100,1,0.9,0.2,3,17.1472,0,0.1165,1.1804,500,,0.1998,0.5428,0.2573,,0.756,TRUE
50,100,1,0.9,1,2,35.2147,0.0001,0.7047,500,,,0.7071,0.2929,,,0.573,TRUE
50,100,5,-0.9,50,3,10.0487,0.0001,0.5708,20.1784,500,,0.577,0.0533,0.3697,,0.739,TRUE
50,100,5,-0.5,1,2,35.2549,0.0001,0.7047,500,,,0.7071,0.2929,,,0.572,TRUE
50,100,5,0,0.2,2,37.644,0.0001,0.7047,500,,,0.7055,0.2945,,,0.712,TRUE
50,100,5,0.5,1,2,35.2104,0.0001,0.7047,500,,,0.7071,0.2929,,,0.57,TRUE
50,100,10,-0.9,1,2,35.2894,0.0001,0.7047,500,,,0.7071,0.2929,,,0.576,TRUE
50,100,10,-0.5,1,2,35.2642,0.0001,0.7047,500,,,0.7071,0.2929,,,0.722,TRUE
50,100,10,0,1,2,35.2327,0.0001,0.7047,500,,,0.7071,0.2929,,,0.571,TRUE
50,100,10,0.5,1,2,35.2011,0.0001,0.7047,500,,,0.7071,0.2929,,,0.573,TRUE
50,100,10,0.9,1,2,35.1759,0.0001,0.7047,500,,,0.7071,0.2929,,,0.57,TRUE
100,0.2,0.2,-0.9,1,2,56.9104,0.0001,0.7047,500,,,0.7071,0.2929,,,0.578,TRUE
